Date,Open,High,Low,Close,Adj Close,Volume
2/19/2020,365,368,351.100006,354.149994,354.149994,279411
2/20/2020,352.850006,365,340,343.100006,343.100006,945546
2/24/2020,340.850006,344.700012,333.100006,339.5,339.5,309711
2/25/2020,341.200012,341.200012,326.049988,329.899994,329.899994,546594
2/26/2020,328.799988,329.5,316.600006,321.25,321.25,1413474
2/27/2020,320,321.950012,310,316.850006,316.850006,707323
2/28/2020,312,313.200012,288.350006,303.549988,303.549988,461331
3/2/2020,310,312,299.100006,305.799988,305.799988,940411
3/3/2020,307.200012,313.75,292.799988,304.5,304.5,505150
3/4/2020,306,310,294.25,304.700012,304.700012,916154
3/5/2020,309,309,271.649994,294.549988,294.549988,1982061
3/6/2020,286,290,267.350006,289.549988,289.549988,914141
3/9/2020,276.149994,287.450012,275.799988,285.350006,285.350006,609904
3/11/2020,285.350006,290.299988,228.300003,265.700012,265.700012,3593699
3/12/2020,251,251,212.600006,212.600006,212.600006,1082232
3/13/2020,170.100006,170.100006,170.100006,170.100006,170.100006,274635
3/16/2020,153.100006,153.100006,153.100006,153.100006,153.100006,1142287
3/17/2020,137.800003,137.800003,137.800003,137.800003,137.800003,83250
3/18/2020,124.050003,124.050003,124.050003,124.050003,124.050003,42771
3/19/2020,117.849998,117.849998,117.849998,117.849998,117.849998,28776
3/20/2020,112,112,112,112,112,643639
3/23/2020,106.400002,106.400002,106.400002,106.400002,106.400002,36850
3/24/2020,101.099998,101.099998,101.099998,101.099998,101.099998,62147
3/25/2020,96.050003,96.050003,96.050003,96.050003,96.050003,368510
3/26/2020,91.25,91.25,91.25,91.25,91.25,143332
3/27/2020,86.699997,86.699997,86.699997,86.699997,86.699997,183044
3/30/2020,82.400002,82.400002,82.400002,82.400002,82.400002,109599
3/31/2020,78.300003,78.300003,78.300003,78.300003,78.300003,227226
4/1/2020,74.400002,74.400002,74.400002,74.400002,74.400002,159269
4/3/2020,70.699997,70.699997,70.699997,70.699997,70.699997,121496
4/7/2020,67.199997,67.199997,67.199997,67.199997,67.199997,749241
4/8/2020,63.849998,63.849998,63.849998,63.849998,63.849998,230815
4/9/2020,60.700001,67,60.700001,66.25,66.25,9088965
4/13/2020,68.400002,69.550003,67.050003,69.550003,69.550003,1886129
4/15/2020,73,73,71.400002,73,73,1536970
4/16/2020,76.650002,76.650002,76.650002,76.650002,76.650002,97479
4/17/2020,80.449997,80.449997,73.300003,80.449997,80.449997,4119152
4/20/2020,84.449997,84.449997,84.449997,84.449997,84.449997,57054
4/21/2020,88.650002,88.650002,88.650002,88.650002,88.650002,86781
4/22/2020,93.050003,93.050003,93.050003,93.050003,93.050003,112506
4/23/2020,97.699997,97.699997,89.199997,97.699997,97.699997,9599578
4/24/2020,101.800003,102.550003,99,102.199997,102.199997,5000704
4/27/2020,101.900002,101.900002,97.099998,97.099998,97.099998,992018
4/28/2020,92.25,92.25,92.25,92.25,92.25,175468
4/29/2020,87.650002,94.5,87.650002,89.550003,89.550003,11098574
4/30/2020,90,92.5,85.099998,85.099998,85.099998,3492475
5/4/2020,80.949997,83,80.849998,80.849998,80.849998,1505332
5/5/2020,78.800003,80.400002,76.849998,76.849998,76.849998,1777878
5/6/2020,73.699997,74.650002,73.050003,73.050003,73.050003,2200897
5/7/2020,76.699997,76.699997,75.550003,76.699997,76.699997,605013
5/8/2020,80.5,80.5,80.5,80.5,80.5,73472
5/11/2020,84.5,84.5,80.5,84.150002,84.150002,6067473
5/12/2020,84.949997,84.949997,79.949997,81.900002,81.900002,1807170
5/13/2020,85.949997,85.949997,81.900002,83.400002,83.400002,1718206
5/14/2020,83.300003,83.300003,80.300003,80.5,80.5,562810
5/15/2020,80.599998,81,76.949997,78.349998,78.349998,880970
5/18/2020,77.900002,78.349998,74.449997,74.449997,74.449997,788750
5/19/2020,74.449997,74.449997,70.75,70.75,70.75,1025995
5/20/2020,70,74.25,67.550003,71.050003,71.050003,1459086
5/21/2020,72.5,72.900002,69.599998,69.949997,69.949997,1119020
5/22/2020,69.949997,70.699997,68,69.949997,69.949997,1064395
5/26/2020,72,73.400002,70.099998,73.400002,73.400002,2025461
5/27/2020,76.900002,77.050003,75.599998,77.050003,77.050003,505094
5/28/2020,80.900002,80.900002,80.900002,80.900002,80.900002,470970
5/29/2020,84.900002,84.900002,81.550003,84.800003,84.800003,5559512
6/1/2020,89,89,89,89,89,940780
6/2/2020,93.449997,93.449997,93.449997,93.449997,93.449997,155956
6/3/2020,98.099998,98.099998,98.099998,98.099998,98.099998,201591
6/4/2020,103,103,93.650002,96.099998,96.099998,7169025
6/5/2020,100,100.900002,95.650002,100.900002,100.900002,1951179
6/8/2020,105.900002,105.900002,100.900002,103.050003,103.050003,6078640
6/9/2020,104,104,97.900002,99.550003,99.550003,3642954
6/10/2020,97.099998,104.5,95.550003,104.400002,104.400002,7009531
6/11/2020,109.599998,109.599998,105,109.599998,109.599998,3344018
6/12/2020,107.949997,115.050003,104.150002,109.849998,109.849998,9820927
6/15/2020,112.699997,115,107.300003,111.550003,111.550003,4516884
6/16/2020,114,114.699997,106,106,106,2697850
6/17/2020,103.449997,106.050003,100.699997,101.300003,101.300003,2619087
6/18/2020,100,106.349998,99.050003,106.349998,106.349998,2121582
6/19/2020,111.650002,111.650002,111.650002,111.650002,111.650002,660262
6/22/2020,117.199997,117.199997,117.199997,117.199997,117.199997,300776
6/23/2020,123.050003,123.050003,123.050003,123.050003,123.050003,244942
6/24/2020,129.199997,129.199997,125,129.199997,129.199997,11201950
6/25/2020,131.5,135.649994,129.5,135.649994,135.649994,3330723
6/26/2020,142.399994,142.399994,139,142.399994,142.399994,5058480
6/29/2020,149.5,149.5,135.300003,135.600006,135.600006,17178068
6/30/2020,138,138,128.850006,128.850006,128.850006,6494771
7/1/2020,132,135.25,123.5,135.25,135.25,9485819
7/2/2020,142,142,139.199997,142,142,5166007
7/3/2020,149.100006,149.100006,135.5,136.600006,136.600006,12434873
7/6/2020,136,136.5,129.800003,129.800003,129.800003,5388279
7/7/2020,125.099998,127.699997,123.349998,123.349998,123.349998,2442663
7/8/2020,117.199997,119.599998,117.199997,117.199997,117.199997,1719039
7/9/2020,111.5,115,111.349998,111.349998,111.349998,1665196
7/10/2020,105.800003,105.800003,105.800003,105.800003,105.800003,707015
7/13/2020,105,111.050003,105,111.050003,111.050003,8295095
7/14/2020,115.050003,116.599998,113.300003,116.599998,116.599998,5522373
7/15/2020,121,122.400002,110.800003,110.800003,110.800003,6559306
7/16/2020,105.300003,105.300003,105.300003,105.300003,105.300003,525067
7/17/2020,101,110.550003,101,110.550003,110.550003,5832508
